feature,importance
IsAirport,0.22257563
BranchHistoricalSize,0.16374123
CitySize,0.15997864
quarter,0.1055299
IsAirportBranch,0.048912298
CityId,0.03626705
BranchAvgPrice,0.033145048
CityAvgPrice,0.03218796
PickupBranchId,0.024028178
post_holiday,0.023364458
is_weekend,0.023350894
month,0.014687942
Quarter,0.01168255
Month,0.011538855
sin_7_1,0.009210565
DayOfYear,0.009083722
days_to_holiday,0.006405916
days_from_holiday,0.005537725
RentalRateId,0.005299203
is_ramadan,0.0052340506
BookingId,0.0042088386
sin_365_2,0.0037496027
umrah_season_intensity,0.0034772204
cos_7_1,0.0032954568
WeekOfYear,0.0028328674
DayOfWeek,0.002425644
cos_7_2,0.0024085562
holiday_duration,0.0023220757
is_holiday,0.0022814844
cos_365_2,0.002271451
IsWeekend,0.0020467122
sin_365_1,0.0018922399
is_long_holiday,0.0017557355
day_of_week,0.0015878963
is_umrah_season,0.0015335651
cos_365_1,0.0014655854
sin_7_2,0.001427465
is_major_event,0.0012031349
is_school_vacation,0.0011730448
VehicleId,0.0010877986
near_holiday,0.00078890956
Year,0.0006776329
DayOfMonth,0.000600546
is_hajj,0.00033902013
DropoffBranchId,0.0002658564
FinancialStatusId,0.00020621876
is_sports_event,0.00018611265
ModelId,0.00015684572
StatusId,0.00014910738
CurrencyId,0.00014569612
DailyRateAmount,0.00014566144
ContractDurationDays,0.00013016775
FleetSize,0.0
is_festival,0.0
CountryId,0.0
CapacityIndicator,0.0
